formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C5H6N2O6	[M + H]+	C5H7N2O6+	Alkaloids	0.137	Small peptides	0.135	Aminoacids	0.049	Organic 1,3-dipolar compounds	0.977	Allyl-type 1,3-dipolar organic compounds	0.975	Organic nitro compounds	0.974	C-nitro compounds	0.956	Nitroaromatic compounds	0.864	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Organic nitro compounds; Carboxylic acid esters; Organic oxoazanium compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	191.029	164	2.737	740686344292084535	740686081875452749	6077	
1	C9H7NO5S	[M + H]+	C9H8NO5S+	Alkaloids	0.706	Anthranilic acid alkaloids	0.134	Simple coumarins	0.108	Benzenoids	0.997	Naphthalenes	0.390	Naphthalene sulfonic acids and derivatives	0.611	Naphthalene sulfonates	0.641	Naphthalene sulfonates	0.641	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyridines and derivatives; Phenols; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Organosulfonic acids; Quinolines and derivatives; Arylsulfonic acids and derivatives; Benzenoids; Arylsufonic acids; 1-sulfo,2-unsubstituted aromatic compounds; Naphthalene sulfonates; Naphthalene sulfonic acids and derivatives; Organic oxides; 8-hydroxyquinolines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	242.011	165	2.750	740686354954006352	740686082831754086	5974	
1	C14H18O	[M + H]+	C14H19O+	Terpenoids	0.980	Sesquiterpenoids	0.965	Bisabolane sesquiterpenoids	0.196	Benzenoids	0.724							Benzenoids	0.724	Organic compounds; Ketones; Prenol lipids; Organooxygen compounds; Carbonyl compounds; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	203.143	215	3.577	740686353947373289	740686082089362258	9302	
1	C17H33NO6	[M + H]+	C17H34NO6+	Fatty acids	0.741	Fatty amides	0.165	Pyrrolidine alkaloids	0.086	Lipids and lipid-like molecules	0.813	Fatty Acyls	0.807					Fatty Acyls	0.807	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	348.238	216	3.604	740686346741558132	740686084496892829	9466	
1	C20H25NO3	[M + H]+	C20H26NO3+	Alkaloids	0.978	Ornithine alkaloids	0.422	Tropane alkaloids	0.175	Benzenoids	0.683							Benzenoids	0.683	Organic compounds; Organoheterocyclic compounds; Oxazinanes; Alcohols and polyols; Ethers; Organonitrogen compounds; Organooxygen compounds; Morpholines; Dialkyl ethers; Trialkylamines; Benzenoids; Amines; Tertiary amines; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	328.191	226	3.765	740686353934790366	740686083930661769	10532	
1	C33H46N4O6	[M + Na]+	C33H46N4NaO6+	Amino acids and Peptides	0.912	Oligopeptides	0.707	Cyclic peptides	0.050	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.856	Amino acids and derivatives	0.843	Alpha amino acids and derivatives	0.789	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrroles; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Substituted pyrroles; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	617.331	245	4.079	740686354220003107	740686087424517131	13225	
1	C27H43NO4	[M + Na]+	C27H43NNaO4+	Alkaloids	0.690	Pseudoalkaloids (transamidation)	0.705	Steroidal alkaloids	0.552	Lipids and lipid-like molecules	0.552	Steroids and steroid derivatives	0.711	Hydroxysteroids	0.553			Hydroxysteroids	0.553	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Steroids and steroid derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxysteroids; Secondary alcohols; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	468.307	250	4.170	740686353880264386	740686086354969571	14761	
1	C12H19FN2O4	[M + H]+	C12H20FN2O4+	Amino acids and Peptides	0.356	Small peptides	0.269	Phenylethylamines	0.142	Organic acids and derivatives	0.906	Carboxylic acids and derivatives	0.848	Amino acids, peptides, and analogues	0.599	Amino acids and derivatives	0.598	Amino acids and derivatives	0.598	Organic compounds; Amino acids, peptides, and analogues; Halobenzenes; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Alkyl fluorides; Aryl fluorides; Carboxylic acid derivatives; Fluorobenzenes; Organofluorides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	275.139	264	4.407	740686354119339801	740686083175687024	15601	
1	C12H19FN2O4	[M + Na]+	C12H19FN2NaO4+	Amino acids and Peptides	0.778	Small peptides	0.921	Aminoacids	0.490	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.991	Amino acids, peptides, and analogues	0.753	Amino acids and derivatives	0.748	Alpha amino acids and derivatives	0.587	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Aryl fluorides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	297.121	265	4.408	740686377020241457	740686083330876277	15606	
1	C28H47N7O9	[M + H]+	C28H48N7O9+	Amino acids and Peptides	0.981	Oligopeptides	0.997	Cyclic peptides	0.610	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.984	Peptides	0.750	Oligopeptides	0.602	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	626.353	286	4.760	740686377108321917	740686087529374736	21275	
1	C19H33NO4S	[M + H]+	C19H34NO4S+	Fatty acids	0.527	Fatty Acids and Conjugates	0.199	Aminoacids	0.176	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.912	Amino acids and derivatives	0.910	Alpha amino acids and derivatives	0.898	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acids; Thia fatty acids; Carbonyl compounds; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	372.220	311	5.183	740686377456449360	740686084878574508	23134	
1	C52H72N14O11	[M + H]+	C52H73N14O11+	Terpenoids	0.435	Oligopeptides	0.717	Oleanane triterpenoids	0.176	Organic acids and derivatives	0.887	Carboxylic acids and derivatives	0.874	Amino acids, peptides, and analogues	0.642	Amino acids and derivatives	0.616	Alpha amino acids and derivatives	0.505	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Polyols; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1069.557	314	5.240	740686390769171536	740686087848141860	23436	
1	C24H44N2O3	[M + H]+	C24H45N2O3+	Fatty acids	0.999	Fatty amides	0.995	N-acyl amines	0.997	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.997	Amino acids and derivatives	0.997	N-acyl-alpha amino acids	0.972	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; N-acyl-alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	409.342	324	5.394	740686376365929961	740686085503525829	23794	
1	C28H41N7O6	[M + H]+	C28H42N7O6+	Amino acids and Peptides	0.879	Oligopeptides	0.889	Cyclic peptides	0.390	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.983	Amino acids, peptides, and analogues	0.956	Peptides	0.597	Peptides	0.597	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	572.319	334	5.562	740686377385146150	740686087160275969	24718	
1	C30H48O2	[M + H]+	C30H49O2+	Terpenoids	1.000	Triterpenoids	0.997	Lanostane, Tirucallane and Euphane triterpenoids	0.354	Lipids and lipid-like molecules	0.994	Prenol lipids	0.961	Triterpenoids	0.885			Triterpenoids	0.885	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Steroids and steroid derivatives; Prenol lipids; Organooxygen compounds; Triterpenoids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	441.372	337	5.617	740686391838719202	740686085612577738	24690	
1	C21H37N	[M + H]+	C21H38N+	Alkaloids	0.989	Nicotinic acid alkaloids	0.778	Pyridine alkaloids	0.776	Benzenoids	1.000	Benzene and substituted derivatives	1.000	Phenylmethylamines	0.975			Phenylmethylamines	0.975	Organic compounds; Phenylmethylamines; Organonitrogen compounds; Quaternary ammonium salts; Benzene and substituted derivatives; Benzenoids; Amines; Benzylamines; Organic cations; Organic salts; Aralkylamines; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	304.300	337	5.618	740686378261755964	740686083507037050	24873	
1	C12H23NO2	[M + H]+	C12H24NO2+	Amino acids and Peptides	0.897	Small peptides	0.943	Aminoacids	0.933	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.957	Amino acids and derivatives	0.957	Amino acids	0.957	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	214.180	339	5.656	740686377322231553	740686082458461020	24977	
1	C16H40N6O	[M + H]+	C16H41N6O+	Alkaloids	0.535	Ornithine alkaloids	0.296	Polyamines	0.117	Benzenoids	0.983	Benzene and substituted derivatives	0.981					Benzene and substituted derivatives	0.981	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Amines; Secondary amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	333.335	361	6.012	740686378114955259	740686084371063704	26310	
1	C26H56ClN5O4Si	[M + H]+	C26H57ClN5O4Si+	Amino acids and Peptides	0.969	Oligopeptides	0.931	Tripeptides	0.618	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.983	Amino acids, peptides, and analogues	0.947	Peptides	0.697	Peptides	0.697	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Organochlorides; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Alkyl halides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	566.387	372	6.204	740686378970593544	740686086929589239	27274	
1	C23H46NO6P	[M + H]+	C23H47NO6P+	Fatty acids	1.000	Glycerophospholipids	0.997	Glycerophosphoethanolamines	0.935	Lipids and lipid-like molecules	0.996	Glycerophospholipids	0.995	Glycerophosphoethanolamines	0.988	Lysophosphatidylethanolamines	0.660	1-acyl-sn-glycero-3-phosphoethanolamines	0.735	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Organic phosphoric acids and derivatives; Phosphate esters; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Phosphoethanolamines; Lysophosphatidylethanolamines; Secondary alcohols; Secondary carboxylic acid amides; 1-acyl-sn-glycero-3-phosphoethanolamines; Carbonyl compounds; Glycerophosphoethanolamines; Polyols; Amines; 1,2-diols; Glycero-3-phospho-N-acyl-ethanolamines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	464.314	372	6.208	740686382984543025	740686086258500574	27281	
1	C22H27NO3	[M + H]+	C22H28NO3+	Alkaloids	0.734	Lysine alkaloids	0.948	Piperidine alkaloids	0.969	Organoheterocyclic compounds	1.000	Benzodioxoles	0.998					Benzodioxoles	0.998	Organic compounds; Organoheterocyclic compounds; Styrenes; Pyrrolidines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzodioxoles; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Acetals; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; N-acylpyrrolidines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	354.206	383	6.380	740686393558383956	740686084631110562	27946	
